region_from,region_to,SC,module_from,overlapping_from,module_to,overlapping_to
rh_R_9m,rh_R_POS2,5.085740582,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_PoI2,rh_R_POS2,0.0,Somatomotor + insula and post. temporal,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_PeEc,rh_R_POS2,6.571001317,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_A5,rh_R_POS2,4.975633844,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_PHA1,rh_R_POS2,6.243034859,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_PFm,rh_R_POS2,0.0,Fronto-parietal + somatomotor,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_PGs,rh_R_POS2,0.0,Visual + fronto-parietal,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_A4,rh_R_POS2,5.665336244,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_RSC,rh_R_PeEc,5.281528639,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_POS2,rh_R_PeEc,6.571001317,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_8BM,rh_R_PeEc,4.076538633,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_9m,rh_R_PeEc,4.124956739,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_PoI2,rh_R_PeEc,0.0,Somatomotor + insula and post. temporal,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_A5,rh_R_PeEc,2.723927766,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_PHA1,rh_R_PeEc,6.552967927,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_PFm,rh_R_PeEc,0.0,Fronto-parietal + somatomotor,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_PGs,rh_R_PeEc,0.0,Visual + fronto-parietal,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_A4,rh_R_PeEc,0.0,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_POS2,rh_R_RSC,8.068142451,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_8BM,rh_R_RSC,6.513554224,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_9m,rh_R_RSC,6.937054915,Anterior frontal + cingulate and adj. cortex,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_PoI2,rh_R_RSC,0.0,Somatomotor + insula and post. temporal,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_PeEc,rh_R_RSC,5.281528639,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_A5,rh_R_RSC,4.559069379,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_PHA1,rh_R_RSC,5.191664931,Cingulate and adj. cortex + visual,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_PFm,rh_R_RSC,0.0,Fronto-parietal + somatomotor,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_PGs,rh_R_RSC,0.0,Visual + fronto-parietal,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_A4,rh_R_RSC,5.38304721,Insula and post. temporal + visual,Overlapping,Cingulate and adj. cortex + visual,Overlapping
rh_R_RSC,rh_R_PGs,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual + fronto-parietal,Overlapping
rh_R_POS2,rh_R_PGs,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual + fronto-parietal,Overlapping
rh_R_8BM,rh_R_PGs,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual + fronto-parietal,Overlapping
rh_R_9m,rh_R_PGs,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Visual + fronto-parietal,Overlapping
rh_R_PoI2,rh_R_PGs,4.08971046,Somatomotor + insula and post. temporal,Overlapping,Visual + fronto-parietal,Overlapping
rh_R_PeEc,rh_R_PGs,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual + fronto-parietal,Overlapping
rh_R_A5,rh_R_PGs,5.820771763,Insula and post. temporal + visual,Overlapping,Visual + fronto-parietal,Overlapping
rh_R_PHA1,rh_R_PGs,0.0,Cingulate and adj. cortex + visual,Overlapping,Visual + fronto-parietal,Overlapping
rh_R_PFm,rh_R_PGs,8.808680292,Fronto-parietal + somatomotor,Overlapping,Visual + fronto-parietal,Overlapping
rh_R_A4,rh_R_PGs,5.872324499,Insula and post. temporal + visual,Overlapping,Visual + fronto-parietal,Overlapping
rh_R_RSC,rh_R_PFm,0.0,Cingulate and adj. cortex + visual,Overlapping,Fronto-parietal + somatomotor,Overlapping
rh_R_POS2,rh_R_PFm,0.0,Cingulate and adj. cortex + visual,Overlapping,Fronto-parietal + somatomotor,Overlapping
rh_R_8BM,rh_R_PFm,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Fronto-parietal + somatomotor,Overlapping
rh_R_9m,rh_R_PFm,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Fronto-parietal + somatomotor,Overlapping
rh_R_PoI2,rh_R_PFm,5.002142254,Somatomotor + insula and post. temporal,Overlapping,Fronto-parietal + somatomotor,Overlapping
rh_R_PeEc,rh_R_PFm,0.0,Cingulate and adj. cortex + visual,Overlapping,Fronto-parietal + somatomotor,Overlapping
rh_R_A5,rh_R_PFm,5.139876036,Insula and post. temporal + visual,Overlapping,Fronto-parietal + somatomotor,Overlapping
rh_R_PHA1,rh_R_PFm,0.0,Cingulate and adj. cortex + visual,Overlapping,Fronto-parietal + somatomotor,Overlapping
rh_R_PGs,rh_R_PFm,8.808680292,Visual + fronto-parietal,Overlapping,Fronto-parietal + somatomotor,Overlapping
rh_R_A4,rh_R_PFm,5.120445438,Insula and post. temporal + visual,Overlapping,Fronto-parietal + somatomotor,Overlapping
rh_R_RSC,rh_R_PoI2,0.0,Cingulate and adj. cortex + visual,Overlapping,Somatomotor + insula and post. temporal,Overlapping
rh_R_POS2,rh_R_PoI2,0.0,Cingulate and adj. cortex + visual,Overlapping,Somatomotor + insula and post. temporal,Overlapping
rh_R_8BM,rh_R_PoI2,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Somatomotor + insula and post. temporal,Overlapping
rh_R_9m,rh_R_PoI2,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Somatomotor + insula and post. temporal,Overlapping
rh_R_PeEc,rh_R_PoI2,0.0,Cingulate and adj. cortex + visual,Overlapping,Somatomotor + insula and post. temporal,Overlapping
rh_R_A5,rh_R_PoI2,4.482343166,Insula and post. temporal + visual,Overlapping,Somatomotor + insula and post. temporal,Overlapping
rh_R_PHA1,rh_R_PoI2,0.0,Cingulate and adj. cortex + visual,Overlapping,Somatomotor + insula and post. temporal,Overlapping
rh_R_PFm,rh_R_PoI2,5.002142254,Fronto-parietal + somatomotor,Overlapping,Somatomotor + insula and post. temporal,Overlapping
rh_R_PGs,rh_R_PoI2,4.08971046,Visual + fronto-parietal,Overlapping,Somatomotor + insula and post. temporal,Overlapping
rh_R_A4,rh_R_PoI2,6.04997637,Insula and post. temporal + visual,Overlapping,Somatomotor + insula and post. temporal,Overlapping
rh_R_RSC,rh_R_A4,5.38304721,Cingulate and adj. cortex + visual,Overlapping,Insula and post. temporal + visual,Overlapping
rh_R_POS2,rh_R_A4,5.665336244,Cingulate and adj. cortex + visual,Overlapping,Insula and post. temporal + visual,Overlapping
rh_R_8BM,rh_R_A4,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Insula and post. temporal + visual,Overlapping
rh_R_9m,rh_R_A4,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Insula and post. temporal + visual,Overlapping
rh_R_PoI2,rh_R_A4,6.04997637,Somatomotor + insula and post. temporal,Overlapping,Insula and post. temporal + visual,Overlapping
rh_R_PeEc,rh_R_A4,0.0,Cingulate and adj. cortex + visual,Overlapping,Insula and post. temporal + visual,Overlapping
rh_R_A5,rh_R_A4,7.959145044,Insula and post. temporal + visual,Overlapping,Insula and post. temporal + visual,Overlapping
rh_R_PHA1,rh_R_A4,0.0,Cingulate and adj. cortex + visual,Overlapping,Insula and post. temporal + visual,Overlapping
rh_R_PFm,rh_R_A4,5.120445438,Fronto-parietal + somatomotor,Overlapping,Insula and post. temporal + visual,Overlapping
rh_R_PGs,rh_R_A4,5.872324499,Visual + fronto-parietal,Overlapping,Insula and post. temporal + visual,Overlapping
rh_R_RSC,rh_R_A5,4.559069379,Cingulate and adj. cortex + visual,Overlapping,Insula and post. temporal + visual,Overlapping
rh_R_POS2,rh_R_A5,4.975633844,Cingulate and adj. cortex + visual,Overlapping,Insula and post. temporal + visual,Overlapping
rh_R_8BM,rh_R_A5,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Insula and post. temporal + visual,Overlapping
rh_R_9m,rh_R_A5,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Insula and post. temporal + visual,Overlapping
rh_R_PoI2,rh_R_A5,4.482343166,Somatomotor + insula and post. temporal,Overlapping,Insula and post. temporal + visual,Overlapping
rh_R_PeEc,rh_R_A5,2.723927766,Cingulate and adj. cortex + visual,Overlapping,Insula and post. temporal + visual,Overlapping
rh_R_PHA1,rh_R_A5,0.0,Cingulate and adj. cortex + visual,Overlapping,Insula and post. temporal + visual,Overlapping
rh_R_PFm,rh_R_A5,5.139876036,Fronto-parietal + somatomotor,Overlapping,Insula and post. temporal + visual,Overlapping
rh_R_PGs,rh_R_A5,5.820771763,Visual + fronto-parietal,Overlapping,Insula and post. temporal + visual,Overlapping
rh_R_A4,rh_R_A5,7.959145044,Insula and post. temporal + visual,Overlapping,Insula and post. temporal + visual,Overlapping
rh_R_RSC,rh_R_10d,4.842438031,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_POS2,rh_R_10d,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_8BM,rh_R_10d,6.451382186,Anterior frontal + cingulate and adj. cortex,Overlapping,Anterior frontal,Non-overlapping
rh_R_9m,rh_R_10d,8.310926582,Anterior frontal + cingulate and adj. cortex,Overlapping,Anterior frontal,Non-overlapping
rh_R_PoI2,rh_R_10d,0.0,Somatomotor + insula and post. temporal,Overlapping,Anterior frontal,Non-overlapping
rh_R_PeEc,rh_R_10d,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_A5,rh_R_10d,0.0,Insula and post. temporal + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_PHA1,rh_R_10d,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_PFm,rh_R_10d,0.0,Fronto-parietal + somatomotor,Overlapping,Anterior frontal,Non-overlapping
rh_R_PGs,rh_R_10d,0.0,Visual + fronto-parietal,Overlapping,Anterior frontal,Non-overlapping
rh_R_A4,rh_R_10d,0.0,Insula and post. temporal + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_RSC,rh_R_10r,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_POS2,rh_R_10r,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_8BM,rh_R_10r,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Anterior frontal,Non-overlapping
rh_R_9m,rh_R_10r,6.094463825,Anterior frontal + cingulate and adj. cortex,Overlapping,Anterior frontal,Non-overlapping
rh_R_PoI2,rh_R_10r,0.0,Somatomotor + insula and post. temporal,Overlapping,Anterior frontal,Non-overlapping
rh_R_PeEc,rh_R_10r,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_A5,rh_R_10r,0.0,Insula and post. temporal + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_PHA1,rh_R_10r,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_PFm,rh_R_10r,0.0,Fronto-parietal + somatomotor,Overlapping,Anterior frontal,Non-overlapping
rh_R_PGs,rh_R_10r,0.0,Visual + fronto-parietal,Overlapping,Anterior frontal,Non-overlapping
rh_R_A4,rh_R_10r,0.0,Insula and post. temporal + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_RSC,rh_R_10v,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_POS2,rh_R_10v,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_8BM,rh_R_10v,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Anterior frontal,Non-overlapping
rh_R_9m,rh_R_10v,5.625957867,Anterior frontal + cingulate and adj. cortex,Overlapping,Anterior frontal,Non-overlapping
rh_R_PoI2,rh_R_10v,0.0,Somatomotor + insula and post. temporal,Overlapping,Anterior frontal,Non-overlapping
rh_R_PeEc,rh_R_10v,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_A5,rh_R_10v,0.0,Insula and post. temporal + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_PHA1,rh_R_10v,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_PFm,rh_R_10v,0.0,Fronto-parietal + somatomotor,Overlapping,Anterior frontal,Non-overlapping
rh_R_PGs,rh_R_10v,0.0,Visual + fronto-parietal,Overlapping,Anterior frontal,Non-overlapping
rh_R_A4,rh_R_10v,0.0,Insula and post. temporal + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_RSC,rh_R_46,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_POS2,rh_R_46,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_8BM,rh_R_46,4.814828887,Anterior frontal + cingulate and adj. cortex,Overlapping,Anterior frontal,Non-overlapping
rh_R_9m,rh_R_46,4.780687794,Anterior frontal + cingulate and adj. cortex,Overlapping,Anterior frontal,Non-overlapping
rh_R_PoI2,rh_R_46,0.0,Somatomotor + insula and post. temporal,Overlapping,Anterior frontal,Non-overlapping
rh_R_PeEc,rh_R_46,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_A5,rh_R_46,0.0,Insula and post. temporal + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_PHA1,rh_R_46,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_PFm,rh_R_46,0.0,Fronto-parietal + somatomotor,Overlapping,Anterior frontal,Non-overlapping
rh_R_PGs,rh_R_46,5.11613535,Visual + fronto-parietal,Overlapping,Anterior frontal,Non-overlapping
rh_R_A4,rh_R_46,0.0,Insula and post. temporal + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_RSC,rh_R_47m,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_POS2,rh_R_47m,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_8BM,rh_R_47m,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Anterior frontal,Non-overlapping
rh_R_9m,rh_R_47m,0.0,Anterior frontal + cingulate and adj. cortex,Overlapping,Anterior frontal,Non-overlapping
rh_R_PoI2,rh_R_47m,0.0,Somatomotor + insula and post. temporal,Overlapping,Anterior frontal,Non-overlapping
rh_R_PeEc,rh_R_47m,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_A5,rh_R_47m,0.0,Insula and post. temporal + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_PHA1,rh_R_47m,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_PFm,rh_R_47m,0.0,Fronto-parietal + somatomotor,Overlapping,Anterior frontal,Non-overlapping
rh_R_PGs,rh_R_47m,0.0,Visual + fronto-parietal,Overlapping,Anterior frontal,Non-overlapping
rh_R_A4,rh_R_47m,0.0,Insula and post. temporal + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_RSC,rh_R_8Ad,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_POS2,rh_R_8Ad,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_8BM,rh_R_8Ad,5.039492884,Anterior frontal + cingulate and adj. cortex,Overlapping,Anterior frontal,Non-overlapping
rh_R_9m,rh_R_8Ad,4.706694335,Anterior frontal + cingulate and adj. cortex,Overlapping,Anterior frontal,Non-overlapping
rh_R_PoI2,rh_R_8Ad,0.0,Somatomotor + insula and post. temporal,Overlapping,Anterior frontal,Non-overlapping
rh_R_PeEc,rh_R_8Ad,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_A5,rh_R_8Ad,0.0,Insula and post. temporal + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_PHA1,rh_R_8Ad,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_PFm,rh_R_8Ad,0.0,Fronto-parietal + somatomotor,Overlapping,Anterior frontal,Non-overlapping
rh_R_PGs,rh_R_8Ad,0.0,Visual + fronto-parietal,Overlapping,Anterior frontal,Non-overlapping
rh_R_A4,rh_R_8Ad,0.0,Insula and post. temporal + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_RSC,rh_R_8Av,1.73141505,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_POS2,rh_R_8Av,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_8BM,rh_R_8Av,4.663038645,Anterior frontal + cingulate and adj. cortex,Overlapping,Anterior frontal,Non-overlapping
rh_R_9m,rh_R_8Av,3.572998484,Anterior frontal + cingulate and adj. cortex,Overlapping,Anterior frontal,Non-overlapping
rh_R_PoI2,rh_R_8Av,0.0,Somatomotor + insula and post. temporal,Overlapping,Anterior frontal,Non-overlapping
rh_R_PeEc,rh_R_8Av,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_A5,rh_R_8Av,3.176907612,Insula and post. temporal + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_PHA1,rh_R_8Av,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_PFm,rh_R_8Av,7.100731629,Fronto-parietal + somatomotor,Overlapping,Anterior frontal,Non-overlapping
rh_R_PGs,rh_R_8Av,7.070454096,Visual + fronto-parietal,Overlapping,Anterior frontal,Non-overlapping
rh_R_A4,rh_R_8Av,2.845332244,Insula and post. temporal + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_RSC,rh_R_8BL,5.365653906,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_POS2,rh_R_8BL,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_8BM,rh_R_8BL,8.37471512,Anterior frontal + cingulate and adj. cortex,Overlapping,Anterior frontal,Non-overlapping
rh_R_9m,rh_R_8BL,8.734121278,Anterior frontal + cingulate and adj. cortex,Overlapping,Anterior frontal,Non-overlapping
rh_R_PoI2,rh_R_8BL,0.0,Somatomotor + insula and post. temporal,Overlapping,Anterior frontal,Non-overlapping
rh_R_PeEc,rh_R_8BL,2.947137468,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_A5,rh_R_8BL,0.0,Insula and post. temporal + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_PHA1,rh_R_8BL,2.888845858,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_PFm,rh_R_8BL,0.0,Fronto-parietal + somatomotor,Overlapping,Anterior frontal,Non-overlapping
rh_R_PGs,rh_R_8BL,0.0,Visual + fronto-parietal,Overlapping,Anterior frontal,Non-overlapping
rh_R_A4,rh_R_8BL,0.0,Insula and post. temporal + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_RSC,rh_R_9-46d,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_POS2,rh_R_9-46d,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_8BM,rh_R_9-46d,5.065969437,Anterior frontal + cingulate and adj. cortex,Overlapping,Anterior frontal,Non-overlapping
rh_R_9m,rh_R_9-46d,5.261141413,Anterior frontal + cingulate and adj. cortex,Overlapping,Anterior frontal,Non-overlapping
rh_R_PoI2,rh_R_9-46d,0.0,Somatomotor + insula and post. temporal,Overlapping,Anterior frontal,Non-overlapping
rh_R_PeEc,rh_R_9-46d,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_A5,rh_R_9-46d,0.0,Insula and post. temporal + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_PHA1,rh_R_9-46d,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_PFm,rh_R_9-46d,0.0,Fronto-parietal + somatomotor,Overlapping,Anterior frontal,Non-overlapping
rh_R_PGs,rh_R_9-46d,0.0,Visual + fronto-parietal,Overlapping,Anterior frontal,Non-overlapping
rh_R_A4,rh_R_9-46d,0.0,Insula and post. temporal + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_RSC,rh_R_9a,4.056462514,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_POS2,rh_R_9a,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_8BM,rh_R_9a,6.526879077,Anterior frontal + cingulate and adj. cortex,Overlapping,Anterior frontal,Non-overlapping
rh_R_9m,rh_R_9a,8.010544415,Anterior frontal + cingulate and adj. cortex,Overlapping,Anterior frontal,Non-overlapping
rh_R_PoI2,rh_R_9a,0.0,Somatomotor + insula and post. temporal,Overlapping,Anterior frontal,Non-overlapping
rh_R_PeEc,rh_R_9a,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_A5,rh_R_9a,0.0,Insula and post. temporal + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_PHA1,rh_R_9a,0.0,Cingulate and adj. cortex + visual,Overlapping,Anterior frontal,Non-overlapping
rh_R_PFm,rh_R_9a,0.0,Fronto-parietal + somatomotor,Overlapping,Anterior frontal,Non-overlapping
rh_R_PGs,rh_R_9a,0.0,Visual + fronto-parietal,Overlapping,Anterior frontal,Non-overlapping
rh_R_A4,rh_R_9a,0.0,Insula and post. temporal + visual,Overlapping,Anterior frontal,Non-overlapping
